Running dfx start for version 0.29.2
Using the default configuration for the local shared network.
Replica API running in the background on 127.0.0.1:4943
2025-12-03 21:06:02.244179465 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: Before - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:06:02.244179465 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: After - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:06:07.797528356 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: Before - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:06:07.797528356 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: After - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:06:13.347634908 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: Before - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:06:13.347634908 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: After - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:06:18.917619862 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: Before - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:06:18.917619862 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: After - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:06:24.467980834 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: Before - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:06:24.467980834 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: After - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:06:30.042483551 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: Before - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:06:30.042483551 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: After - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:06:35.640862924 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: Before - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:06:35.640862924 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: After - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:06:41.194526760 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: Before - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:06:41.194526760 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: After - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:06:46.747910295 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: Before - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:06:46.747910295 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: After - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:06:52.300237113 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: Before - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:06:52.300237113 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: After - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:06:57.853836270 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: Before - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:06:57.853836270 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: After - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:07:03.400256828 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: Before - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:07:03.400256828 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: After - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:07:08.942080347 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: Before - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:07:08.942080347 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: After - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:07:14.481549354 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: Before - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:07:14.481549354 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: After - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:07:20.020413049 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: Before - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:07:20.020413049 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: After - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:07:25.560371750 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: Before - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:07:25.560371750 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: After - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:07:31.104997470 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: Before - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:07:31.104997470 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: After - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:07:36.709677945 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: Before - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:07:36.709677945 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: After - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:07:42.249012687 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: Before - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:07:42.249012687 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: After - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:07:47.789145283 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: Before - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:07:47.789145283 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: After - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:07:53.330441371 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: Before - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:07:53.330441371 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: After - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:07:58.870852272 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: Before - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:07:58.870852272 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: After - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:08:04.425568097 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: Before - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:08:04.425568097 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: After - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:08:09.961560924 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: Before - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:08:09.961560924 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: After - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:08:15.502836311 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: Before - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:08:15.502836311 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: After - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:08:21.060465850 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: Before - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:08:21.060465850 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: After - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:08:26.618571268 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: Before - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:08:26.618571268 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: After - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:08:32.182704459 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: Before - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:08:32.182704459 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: After - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:08:37.204524012 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: Before - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:08:37.204524012 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: After - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:08:42.745681602 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: Before - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:08:42.745681602 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: After - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:08:48.284115404 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: Before - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:08:48.284115404 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: After - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:08:53.823557223 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: Before - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:08:53.823557223 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: After - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:08:59.368522970 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: Before - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:08:59.368522970 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: After - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:09:04.914050062 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: Before - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:09:04.914050062 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: After - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:09:10.449647601 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: Before - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:09:10.449647601 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: After - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:09:15.987414430 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: Before - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:09:15.987414430 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: After - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:09:21.527783917 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: Before - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:09:21.527783917 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: After - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:09:27.063966162 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: Before - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:09:27.063966162 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: After - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:09:32.598502967 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: Before - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:09:32.598502967 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: After - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:09:38.135518156 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: Before - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:09:38.135518156 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: After - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:09:43.672618168 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: Before - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:09:43.672618168 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: After - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:09:49.209867211 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: Before - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:09:49.209867211 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: After - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:09:54.750526925 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: Before - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:09:54.750526925 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: After - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:10:00.286006128 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: Before - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:10:00.286006128 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: After - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:10:05.827232755 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: Before - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:10:05.827232755 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: After - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:10:11.367032085 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: Before - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:10:11.367032085 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: After - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:10:16.906539227 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: Before - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:10:16.906539227 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: After - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:10:22.448145763 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: Before - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:10:22.448145763 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: After - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:10:27.990511738 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: Before - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:10:27.990511738 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: After - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:10:33.529540280 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: Before - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:10:33.529540280 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: After - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:10:39.127766522 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: Before - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:10:39.127766522 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: After - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:10:44.667516725 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: Before - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:10:44.667516725 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: After - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:10:50.204137562 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: Before - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:10:50.204137562 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: After - Staked: 50000000, Pool: 0, Unstaked: 50000000
2025-12-03 21:10:55.747413885 UTC: [Canister ucwa4-rx777-77774-qaada-cai] SYNC_SHARD: Before - Staked: 50000000, Pool: 0, Unstaked: 50000000
